"","Species","Status","Interactivity","Availability","continents","regions","biomes","maturity","gestation","class","order","family","genus","image_link","compatible","version"
"12","Komodo Dragon","Endangered","Full","Deluxe","Asia","Islands of Indonesia (Komodo, Rinca, Flores, Gili Motang)","Tropical,Grassland","8 years","8 months","Reptilia","Squamata","Varanidae","Varanus",NA,"","Deluxe"
"13","Thomson's Gazelle","Least concern","Full","Deluxe","Africa","Tanzania, Kenya","Grassland","2 years","6 months","Mammalia","Artiodactyla","Bovidae","Eudorcas",NA,"African Buffalo,Black Wildebeest,Blue Wildebeest,Common Ostrich,Common Warthog,Plains Zebra,Reticulated Giraffe,Sable Antelope,Southern White Rhinoceros,Springbok","Deluxe"
"14","African Wild Dog","Endangered","Full","Standard","Africa","Sub-Saharan Africa","Grassland,Desert","2 years","2 months","Mammalia","Carnivora","Canidae","Lycaon",NA,"","Standard"
"15","Cheetah","Vulnerable","Full","Standard","Africa","Niger, Sudan, Ethiopia, Kenya, Tanzania, Namibia, Botswana","Grassland,Desert","2 years","3 months","Mammalia","Carnivora","Felidae","Acinonyx",NA,"","Standard"
"16","Saltwater Crocodile","Least concern","Full","Standard","Asia, Oceania","South East Asia, East India, North Australia","Aquatic,Tropical","14 years","3 months","Reptilia","Crocodilia","Crocodylidae","Crocodylus",NA,"","Standard"
"17","Springbok","Least concern","Full","Standard","Africa","Namibia, Botswana, South Africa","Grassland,Desert","1 year","6 months","Mammalia","Artiodactyla","Bovidae","Antidorcas",NA,"African Buffalo,Black Wildebeest,Blue Wildebeest,Common Ostrich,Common Warthog,Plains Zebra,Reticulated Giraffe,Sable Antelope,Southern White Rhinoceros,Thomson's Gazelle","Standard"
"18","Black Wildebeest","Least concern","Full","Standard","Africa","South Africa, Eswatini, Lesotho, Namibia","Grassland","4 years","9 months","Mammalia","Artiodactyla","Bovidae","Connochaetes",NA,"African Buffalo,Blue Wildebeest,Common Ostrich,Common Warthog,Plains Zebra,Reticulated Giraffe,Sable Antelope,Southern White Rhinoceros,Springbok,Thomson's Gazelle","Standard"
"19","Lesser Antillean Iguana","Critically endangered","Exhibit","Standard","South America, Central America","Lesser Antilles","","Males 5 years, Females 3 years","3 months","Reptilia","Squamata","Iguanidae","Iguana",NA,NA,"Standard"
"20","Indian Peafowl","Least concern","Full","Standard","Asia","Indian subcontinent","Temperate,Tropical,Grassland","3 years","1 month","Aves","Galliformes","Phasianidae","Pavo",NA,"","Standard"
"21","Boa Constrictor","Least concern","Exhibit","Standard","South America, Central America","Colombia, Ecuador, Peru, Venezuela, Trinidad and Tobago, Guyana, Suriname, French Guiana, Brazil, Bolivia, Uruguay, Argentina","","3-4 years","4 months","Reptilia","Squamata","Boidae","Boa",NA,NA,"Standard"
"22","Bengal Tiger","Endangered","Full","Standard","Asia","India, Bangladesh, Nepal, Bhutan, China, Myanmar","Tropical,Temperate,Grassland","4 years","3 months","Mammalia","Carnivora","Felidae","Panthera",NA,"","Standard"
"23","Brazilian Wandering Spider","Data deficient","Exhibit","Standard","South America","Brazil, Colombia, Venezuela, Ecuador, Peru, Bolivia, Paraguay, Argentina","","1 year","1 months","Arachnida","Aranae","Ctenidae","Phoneutria",NA,NA,"Standard"
"24","Spotted Hyena","","Full","Standard","Africa","","Grassland","3 years","4 months","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,"","Standard"
"25","Bactrian Camel","Domesticated","Full","Standard","Asia","Mongolia, China, Himalayas, Siberia","Desert,Temperate","6 years","13 months","Mammalia","Artiodactyla","Camelidae","Camelus",NA,"Przewalski's Horse","Standard"
"26","Green Iguana","Least concern","Exhibit","Standard","South America, Central America","Mexico, Brazil, Ecuador, Caribbean, Southern USA","","Males 3-4 years, females 3-5 years","4 months","Reptilia","Squamata","Iguanidae","Iguana",NA,NA,"Standard"
"27","Bornean Orangutan","Critically endangered","Full","Standard","Asia","Borneo, Malaysia, Indonesia","Tropical","13 years","8 months","Mammalia","Primates","Hominidae","Pongo",NA,"Asian Small-Clawed Otter,Lar Gibbon,Malayan Tapir,Siamang","Standard"
